city,country,lat,lon,temp,temp_min,temp_max,pressure,humidity,cloudiness,wind_speed,timestamp
mahibadhoo,MV,3.7833,72.9667,300.89,300.89,300.89,1010,78,100,6.16,1627420418
kavieng,PG,-2.5744,150.7967,301.72,301.72,301.72,1010,73,14,4.71,1627420355
khatanga,RU,71.9667,102.5,296.79,296.79,296.79,1001,58,100,7.38,1627420420
pangnirtung,CA,66.1451,-65.7125,282.15,282.15,282.15,1007,87,75,1.54,1627420421
vostok,RU,46.4856,135.8833,296.23,296.23,296.23,1006,80,97,1.03,1627420421
ancud,CL,-41.8697,-73.8203,282.89,282.89,282.89,1033,76,97,0.87,1627420422
evensk,RU,61.95,159.2333,287.08,287.08,287.08,1003,58,94,3.7,1627420423
tuktoyaktuk,CA,69.4541,-133.0374,282.51,282.51,282.51,1009,74,100,3.11,1627420423
sisimiut,GL,66.9395,-53.6735,285.7,285.7,285.7,1017,61,100,9.07,1627420423
kavaratti,IN,10.5669,72.642,300.77,300.77,300.77,1009,78,100,8.73,1627420424
ponta do sol,CV,17.1994,-25.0919,298.03,298.03,298.03,1015,81,40,5.89,1627420424
richards bay,ZA,-28.783,32.0377,290.94,290.94,290.94,1021,63,6,7.48,1627420425
berlevag,NO,70.8578,29.0864,280.12,280.12,281.04,1017,93,90,2.06,1627420426
esperance,AU,-33.8667,121.9,282.25,282.25,282.25,1010,81,42,7.0,1627420426
cavalcante,BR,-13.7975,-47.4583,296.21,296.21,296.21,1013,29,28,0.18,1627420428
castro,CL,-42.4721,-73.7732,282.86,282.86,282.86,1034,81,75,4.12,1627420428
edd,ER,13.9297,41.6925,305.48,305.48,305.48,1004,62,67,2.62,1627420429
carnarvon,AU,-24.8667,113.6333,292.66,292.66,292.66,1014,52,100,3.58,1627420429
cabedelo,BR,-6.9811,-34.8339,298.52,298.52,298.52,1015,84,10,5.13,1627420430
barrow,US,71.2906,-156.7887,279.16,279.16,279.16,1006,85,90,6.17,1627420431
nalut,LY,30.3333,10.85,303.77,303.77,303.77,1012,17,0,7.22,1627420432
vila franca do campo,PT,37.7167,-25.4333,294.38,294.38,294.38,1027,82,13,4.17,1627420433
salalah,OM,17.0151,54.0924,299.2,299.2,299.2,1004,94,75,3.6,1627420434
palmer,US,42.1584,-72.3287,302.98,301.02,305.16,1011,49,40,1.79,1627420436
ostrovnoy,RU,68.0531,39.5131,280.63,280.63,280.63,1015,88,59,1.8,1627420437
moranbah,AU,-22.0016,148.0466,284.72,284.72,284.72,1019,89,1,1.68,1627420438
nanortalik,GL,60.1432,-45.2371,281.52,281.52,281.52,1022,75,57,1.55,1627420438
ajdabiya,LY,30.7554,20.2263,298.98,298.98,298.98,1013,69,0,4.77,1627420438
haines junction,CA,60.7522,-137.5108,289.73,289.73,289.73,1016,57,98,2.66,1627420439
fortuna,US,40.5982,-124.1573,288.08,287.22,289.07,1018,96,90,0.0,1627420440
kalaleh,IR,37.3807,55.4916,301.73,301.73,301.73,1006,70,0,0.97,1627420440
butaritari,KI,3.0707,172.7902,300.6,300.6,300.6,1013,71,97,2.23,1627420441
la ronge,CA,55.1001,-105.2842,297.32,297.32,297.32,1009,41,38,3.58,1627420442
sinnamary,GF,5.3833,-52.95,300.59,300.59,300.59,1012,75,13,4.33,1627420443
gingelom,BE,50.75,5.1333,290.27,288.48,291.2,1009,86,100,0.45,1627420443
longyearbyen,SJ,78.2186,15.6401,279.49,279.49,279.49,1018,97,100,0.79,1627420444
felanitx,ES,39.4696,3.1483,297.47,295.9,298.68,1014,77,0,2.7,1627420444
nouakchott,MR,18.0858,-15.9785,298.11,298.11,298.11,1010,83,86,5.96,1627420445
denpasar,ID,-8.65,115.2167,296.96,296.96,296.96,1011,88,20,1.54,1627420445
port alfred,ZA,-33.5906,26.891,294.74,294.74,294.74,1014,30,4,8.48,1627420446
